id,geo_id,county,county_pop_19,mk_pop,pval_mk,slp_pop,pval_ols,coef_pop,pval_poisson,WUICLASS10_tract,WUIFLAG10_tract,tract_id_num,geo_id_tract
6073021000,1400000US06073021000,San Diego County,3316073,-0.134839967,0.653422117,-33.23030303,0.289431335,-0.010992182,4.05E-08,Med_Dens_Interface,2,6073021000,06073021000
6073017022,1400000US06073017022,San Diego County,3316073,0.51111114,0.049098015,56.89090909,0.020475529,0.010336077,3.31E-12,High_Dens_Interface,2,6073017022,06073017022
6073017045,1400000US06073017045,San Diego County,3316073,-0.200000003,0.474274337,-2.551515152,0.615756058,-9.29E-04,0.658250918,High_Dens_Interface,2,6073017045,06073017045
6073013419,1400000US06073013419,San Diego County,3316073,0.733333349,0.004207492,89.65454545,0.001043226,0.010696481,5.95E-19,High_Dens_Interface,2,6073013419,06073013419
6053014302,1400000US06053014302,Monterey County,433410,0.51111114,0.049098015,34.84242424,0.043170225,0.008126658,1.35E-06,High_Dens_Intermix,1,6053014302,06053014302
6053013400,1400000US06053013400,Monterey County,433410,-0.733333349,0.00420755,-28.35757576,2.93E-04,-0.016860488,3.44E-10,High_Dens_Interface,2,6053013400,06053013400
6053012700,1400000US06053012700,Monterey County,433410,0.422222227,0.107404709,52.41818182,0.021667116,0.015274465,4.50E-16,High_Dens_Interface,2,6053012700,06053012700
6053013000,1400000US06053013000,Monterey County,433410,-0.06666667,0.858027637,7.266666667,0.78342037,0.00215355,0.255857135,High_Dens_Interface,2,6053013000,06053013000
6053013100,1400000US06053013100,Monterey County,433410,-0.288888901,0.283130825,-25.63030303,0.238388322,-0.012532179,2.66E-07,High_Dens_Interface,2,6053013100,06053013100
6053012000,1400000US06053012000,Monterey County,433410,0.822222233,0.001282215,105.5333333,1.46E-05,0.028253097,2.71E-55,Low_Dens_Intermix,1,6053012000,06053012000
6087100400,1400000US06087100400,Santa Cruz County,273962,0.911111116,3.47E-04,482.7575758,2.94E-05,0.056074412,0,Med_Dens_Interface,2,6087100400,06087100400
6087100500,1400000US06087100500,Santa Cruz County,273962,0.822222233,0.001282215,204.3878788,5.96E-04,0.033270795,1.44E-123,High_Dens_Interface,2,6087100500,06087100500
6087100900,1400000US06087100900,Santa Cruz County,273962,0.600000024,0.020044684,49.04242424,6.87E-04,0.011513253,8.88E-12,High_Dens_Interface,2,6087100900,06087100900
6087120800,1400000US06087120800,Santa Cruz County,273962,-0.288888901,0.283130825,-19.44242424,0.231126012,-0.003346436,0.020515591,Med_Dens_Interface,2,6087120800,06087120800
6087101200,1400000US06087101200,Santa Cruz County,273962,-0.314626604,0.243034959,-23.64848485,0.146671652,-0.007357715,1.52E-04,High_Dens_Interface,2,6087101200,06087101200
6087120900,1400000US06087120900,Santa Cruz County,273962,0.822222233,0.001282215,77.18787879,1.57E-04,0.009108126,2.64E-14,Med_Dens_Interface,2,6087120900,06087120900
6087122100,1400000US06087122100,Santa Cruz County,273962,0.333333343,0.210497618,22.46060606,0.073832983,0.006963802,3.28E-04,High_Dens_Interface,2,6087122100,06087122100
6087122003,1400000US06087122003,Santa Cruz County,273962,0.688888907,0.007290363,101.7939394,4.71E-04,0.015126729,1.92E-29,High_Dens_Interface,2,6087122003,06087122003
6057000104,1400000US06057000104,Nevada County,99244,-0.200000003,0.474274337,-28.39393939,0.084484331,-0.008882334,5.09E-06,Med_Dens_Intermix,1,6057000104,06057000104
6057000105,1400000US06057000105,Nevada County,99244,0.022222223,1,10.58181818,0.645199382,0.003777423,0.069383773,Low_Dens_Intermix,1,6057000105,06057000105
6057000103,1400000US06057000103,Nevada County,99244,-0.555555582,0.031823125,-84.98181818,0.013017306,-0.010872183,2.57E-18,Low_Dens_Intermix,1,6057000103,06057000103
6057000200,1400000US06057000200,Nevada County,99244,-0.200000003,0.474274337,-4.266666667,0.770194589,-0.001593355,0.453915448,Low_Dens_Intermix,1,6057000200,06057000200
6057000300,1400000US06057000300,Nevada County,99244,0.377777785,0.152406216,25.47878788,0.177597418,0.010578492,2.42E-06,Low_Dens_Intermix,1,6057000300,06057000300
6057000401,1400000US06057000401,Nevada County,99244,-0.822222233,0.001282184,-57.13939394,4.13E-04,-0.009472572,2.37E-11,Med_Dens_Interface,2,6057000401,06057000401
6057000402,1400000US06057000402,Nevada County,99244,-0.244444445,0.371093333,-99.96969697,0.169761207,-0.014705696,3.46E-28,Low_Dens_Intermix,1,6057000402,06057000402
6057000501,1400000US06057000501,Nevada County,99244,-0.422222227,0.107404657,-51.47878788,0.034100528,-0.008664057,1.32E-09,High_Dens_Interface,2,6057000501,06057000501
6057000502,1400000US06057000502,Nevada County,99244,0.600000024,0.020044684,46.23030303,0.015070698,0.009696267,1.20E-09,High_Dens_Interface,2,6057000502,06057000502
6057000600,1400000US06057000600,Nevada County,99244,0.822222233,0.001282215,129.9575758,5.28E-05,0.020351506,2.60E-49,High_Dens_Interface,2,6057000600,06057000600
6057000701,1400000US06057000701,Nevada County,99244,-0.333333343,0.210497677,-56.33333333,0.04150898,-0.007595595,2.84E-09,Med_Dens_Intermix,1,6057000701,06057000701
6071008002,1400000US06071008002,San Bernardino County,2149031,0.600000024,0.020044684,125.4606061,0.016844487,0.017079012,2.67E-40,Med_Dens_Interface,2,6071008002,06071008002
6069000300,1400000US06069000300,San Benito County,60376,0.466666669,0.07363832,52.31515152,0.1066536,0.012248575,3.62E-13,High_Dens_Interface,2,6069000300,06069000300
6069000400,1400000US06069000400,San Benito County,60376,0.688888907,0.007290363,72.17575758,0.002510177,0.011956265,3.30E-17,High_Dens_Interface,2,6069000400,06069000400
6069000600,1400000US06069000600,San Benito County,60376,0.600000024,0.020044684,113.230303,0.008845878,0.013416003,4.49E-29,High_Dens_Interface,2,6069000600,06069000600
6069000100,1400000US06069000100,San Benito County,60376,-0.51111114,0.049097981,-68.60606061,0.033918423,-0.013351487,3.61E-18,Low_Dens_Interface,2,6069000100,06069000100
